:END_ID,:START_ID,:TYPE,line:string,time:float
Maraîchers,Buzenval,SUBWAY,9,61.811512415349895
Rue des Boulets,Charonne,SUBWAY,9,74.05191873589166
Richelieu-Drouot,Chaussée d'Antin (La Fayette),SUBWAY,9,70.46275395033861
Mairie de Montreuil,Croix-de-Chavaux (Jacques Duclos),SUBWAY,9,86.73250564334087
Michel-Ange-Molitor,Exelmans,SUBWAY,9,58.22234762979685
Saint-Philippe du Roule,Franklin-Roosevelt,SUBWAY,9,74.52595936794584
Bonne Nouvelle,Grands Boulevards,SUBWAY,9,75.57562076749437
Chaussée d'Antin (La Fayette),Havre-Caumartin,SUBWAY,9,77.42099322799099
Alma-Marceau,Iéna,SUBWAY,9,80.43453724604967
Ranelagh,Jasmin,SUBWAY,9,66.19638826185103
Rue de la Pompe (Avenue Georges Mandel),La Muette,SUBWAY,9,118.91647855530476
Porte de Montreuil,Maraîchers,SUBWAY,9,77.048532731377
Porte de Saint-Cloud,Marcel Sembat,SUBWAY,9,120.72799097065464
Jasmin,Michel-Ange-Auteuil,SUBWAY,9,95.8916478555305
Michel-Ange-Auteuil,Michel-Ange-Molitor,SUBWAY,9,66.31489841986456
Saint-Augustin,Miromesnil,SUBWAY,9,92.75959367945826
Buzenval,Nation,SUBWAY,9,101.86794582392778
Saint-Ambroise,Oberkampf,SUBWAY,9,82.05981941309257
Billancourt,Pont de Sèvres,SUBWAY,9,122.25169300225734
Robespierre,Porte de Montreuil,SUBWAY,9,113.36343115124156
Exelmans,Porte de Saint-Cloud,SUBWAY,9,80.62076749435667
La Muette,Ranelagh,SUBWAY,9,73.03611738148985
Grands Boulevards,Richelieu-Drouot,SUBWAY,9,67.61851015801355
Croix-de-Chavaux (Jacques Duclos),Robespierre,SUBWAY,9,98.71896162528218
Trocadéro,Rue de la Pompe (Avenue Georges Mandel),SUBWAY,9,75.08465011286684
Nation,Rue des Boulets,SUBWAY,9,75.62641083521446
Oberkampf,République,SUBWAY,9,78.19977426636571
Voltaire (Léon Blum),Saint-Ambroise,SUBWAY,9,84.80248306997744
Havre-Caumartin,Saint-Augustin,SUBWAY,9,74.9153498871332
Miromesnil,Saint-Philippe du Roule,SUBWAY,9,73.4255079006772
République,Strasbourg-Saint-Denis,SUBWAY,9,115.69977426636571
Iéna,Trocadéro,SUBWAY,9,87.40970654627542
Charonne,Voltaire (Léon Blum),SUBWAY,9,71.86794582392777
Chemin Vert,Bastille,SUBWAY,8,69.87434875881092
Grands Boulevards,Bonne Nouvelle,SUBWAY,8,63.89825314128104
Lourmel,Boucicaut,SUBWAY,8,64.37634079068343
Liberté,Charenton-Ecoles,SUBWAY,8,88.61170701808153
Saint-Sébastien-Froissart,Chemin Vert,SUBWAY,8,68.29298191847994
Félix Faure,Commerce,SUBWAY,8,76.1630401471039
Invalides,Concorde,SUBWAY,8,105.71253447747473
Maisons-Alfort-Les Juilliottes,Créteil-L'Echat (Hôpital Henri Mondor),SUBWAY,8,105.49187863928901
Créteil-Université,Créteil-Préfecture (Hôtel de Ville),SUBWAY,8,132.83481458780264
Créteil-L'Echat (Hôpital Henri Mondor),Créteil-Université,SUBWAY,8,81.27490039840639
Montgallet,Daumesnil (Félix Eboué),SUBWAY,8,78.36959852896109
La Motte-Picquet-Grenelle,Ecole Militaire,SUBWAY,8,103.52436408213302
Charenton-Ecoles,Ecole Vétérinaire de Maisons-Alfort,SUBWAY,8,115.78915108795589
Ledru-Rollin,Faidherbe-Chaligny,SUBWAY,8,81.14618449279806
République,Filles du Calvaire,SUBWAY,8,79.96935335580754
Boucicaut,Félix Faure,SUBWAY,8,64.10052099295127
Richelieu-Drouot,Grands Boulevards,SUBWAY,8,73.31290223720504
La Tour-Maubourg,Invalides,SUBWAY,8,80.07968127490041
Commerce,La Motte-Picquet-Grenelle,SUBWAY,8,77.72601900091941
Ecole Militaire,La Tour-Maubourg,SUBWAY,8,68.80784554091328
Bastille,Ledru-Rollin,SUBWAY,8,71.36377566656452
Porte de Charenton,Liberté,SUBWAY,8,117.95893349678212
Balard,Lourmel,SUBWAY,8,69.24915721728472
Concorde,Madeleine,SUBWAY,8,78.97640208397182
Maisons-Alfort-Stade,Maisons-Alfort-Les Juilliottes,SUBWAY,8,113.98712840943918
Ecole Vétérinaire de Maisons-Alfort,Maisons-Alfort-Stade,SUBWAY,8,97.32761262641742
Daumesnil (Félix Eboué),Michel Bizot,SUBWAY,8,76.42047195832058
Reuilly-Diderot,Montgallet,SUBWAY,8,68.20104198590255
Madeleine,Opéra,SUBWAY,8,72.59577076310146
Créteil-Préfecture (Hôtel de Ville),Pointe du Lac,SUBWAY,8,165.36316273368067
Michel Bizot,Porte Dorée,SUBWAY,8,80.09806926141589
Porte Dorée,Porte de Charenton,SUBWAY,8,80.07968127490041
Faidherbe-Chaligny,Reuilly-Diderot,SUBWAY,8,76.67790376953724
Opéra,Richelieu-Drouot,SUBWAY,8,76.53079987741343
Strasbourg-Saint-Denis,République,SUBWAY,8,101.31780570027584
Filles du Calvaire,Saint-Sébastien-Froissart,SUBWAY,8,62.94207784247626
Bonne Nouvelle,Strasbourg-Saint-Denis,SUBWAY,8,64.85442844008583
Lourmel,Balard,SUBWAY,8,133.45487693710118
Ledru-Rollin,Bastille,SUBWAY,8,73.85597082953511
Strasbourg-Saint-Denis,Bonne Nouvelle,SUBWAY,8,62.11485870556063
Félix Faure,Boucicaut,SUBWAY,8,62.388331814038295
Ecole Vétérinaire de Maisons-Alfort,Charenton-Ecoles,SUBWAY,8,113.25432999088424
Bastille,Chemin Vert,SUBWAY,8,66.3992707383774
La Motte-Picquet-Grenelle,Commerce,SUBWAY,8,88.09480401093894
Madeleine,Concorde,SUBWAY,8,87.73017319963539
Créteil-Université,Créteil-L'Echat (Hôpital Henri Mondor),SUBWAY,8,84.50319051959892
Pointe du Lac,Créteil-Préfecture (Hôtel de Ville),SUBWAY,8,120.9115770282589
Créteil-Préfecture (Hôtel de Ville),Créteil-Université,SUBWAY,8,119.96353691886966
Michel Bizot,Daumesnil (Félix Eboué),SUBWAY,8,77.81221513217868
La Tour-Maubourg,Ecole Militaire,SUBWAY,8,67.65724703737467
Maisons-Alfort-Stade,Ecole Vétérinaire de Maisons-Alfort,SUBWAY,8,104.6855059252507
Reuilly-Diderot,Faidherbe-Chaligny,SUBWAY,8,70.04557885141296
Saint-Sébastien-Froissart,Filles du Calvaire,SUBWAY,8,60.036463081130364
Commerce,Félix Faure,SUBWAY,8,60.00000000000001
Bonne Nouvelle,Grands Boulevards,SUBWAY,8,62.625341841385605
Concorde,Invalides,SUBWAY,8,97.88514129443939
Ecole Militaire,La Motte-Picquet-Grenelle,SUBWAY,8,108.93345487693712
Invalides,La Tour-Maubourg,SUBWAY,8,90.39197812215134
Faidherbe-Chaligny,Ledru-Rollin,SUBWAY,8,81.76845943482226
Charenton-Ecoles,Liberté,SUBWAY,8,93.6189608021878
Boucicaut,Lourmel,SUBWAY,8,62.041932543299914
Opéra,Madeleine,SUBWAY,8,70.26435733819508
Créteil-L'Echat (Hôpital Henri Mondor),Maisons-Alfort-Les Juilliottes,SUBWAY,8,102.20601640838653
Maisons-Alfort-Les Juilliottes,Maisons-Alfort-Stade,SUBWAY,8,94.80401093892435
Porte Dorée,Michel Bizot,SUBWAY,8,83.09936189608024
Daumesnil (Félix Eboué),Montgallet,SUBWAY,8,73.96536007292617
Richelieu-Drouot,Opéra,SUBWAY,8,85.1777575205105
Porte de Charenton,Porte Dorée,SUBWAY,8,88.75113947128534
Liberté,Porte de Charenton,SUBWAY,8,100.43755697356428
Montgallet,Reuilly-Diderot,SUBWAY,8,84.48495897903375
Grands Boulevards,Richelieu-Drouot,SUBWAY,8,71.68641750227896
Filles du Calvaire,République,SUBWAY,8,81.93254329990886
Chemin Vert,Saint-Sébastien-Froissart,SUBWAY,8,72.26982680036464
République,Strasbourg-Saint-Denis,SUBWAY,8,116.24430264357338
Saint-Denis - Porte de Paris,Basilique de Saint-Denis,SUBWAY,13,89.76562500000001
Mairie de Saint-Ouen,Carrefour-Pleyel,SUBWAY,13,114.07031250000003
Invalides,Champs-Elysées-Clémenceau,SUBWAY,13,102.09375000000001
Montparnasse-Bienvenue,Duroc,SUBWAY,13,94.59375000000001
Porte de Saint-Ouen,Garibaldi,SUBWAY,13,116.53125000000003
Pernety,Gaîté,SUBWAY,13,82.38281250000001
La Fourche,Guy-Môquet,SUBWAY,13,109.14843750000003
Varenne,Invalides,SUBWAY,13,67.94531250000001
Place de Clichy,La Fourche,SUBWAY,13,63.585937500000014
Saint-Lazare,Liège,SUBWAY,13,95.10937500000001
Garibaldi,Mairie de Saint-Ouen,SUBWAY,13,97.17187500000001
Malakoff-Rue Etienne Dolet,Malakoff-Plateau de Vanves,SUBWAY,13,99.16406250000001
Châtillon Montrouge,Malakoff-Rue Etienne Dolet,SUBWAY,13,84.77343750000001
Champs-Elysées-Clémenceau,Miromesnil,SUBWAY,13,98.67187500000001
Gaîté,Montparnasse-Bienvenue,SUBWAY,13,92.10937500000001
Plaisance,Pernety,SUBWAY,13,67.12500000000001
Liège,Place de Clichy,SUBWAY,13,87.91406250000001
Porte de Vanves,Plaisance,SUBWAY,13,92.83593750000001
Guy-Môquet,Porte de Saint-Ouen,SUBWAY,13,76.12500000000001
Malakoff-Plateau de Vanves,Porte de Vanves,SUBWAY,13,104.78906250000003
Carrefour-Pleyel,Saint-Denis - Porte de Paris,SUBWAY,13,137.953125
Basilique de Saint-Denis,Saint-Denis-Université,SUBWAY,13,126.14062500000003
Duroc,Saint-François-Xavier,SUBWAY,13,71.64843750000001
Miromesnil,Saint-Lazare,SUBWAY,13,124.52343750000003
Saint-François-Xavier,Varenne,SUBWAY,13,73.78125000000001
Saint-Denis-Université,Basilique de Saint-Denis,SUBWAY,13,109.02467685076383
Saint-Denis - Porte de Paris,Carrefour-Pleyel,SUBWAY,13,140.32902467685076
Miromesnil,Champs-Elysées-Clémenceau,SUBWAY,13,105.14688601645126
Malakoff-Rue Etienne Dolet,Châtillon Montrouge,SUBWAY,13,99.38895417156287
Saint-François-Xavier,Duroc,SUBWAY,13,71.39835487661576
Mairie de Saint-Ouen,Garibaldi,SUBWAY,13,102.74970622796712
Montparnasse-Bienvenue,Gaîté,SUBWAY,13,83.00822561692128
Porte de Saint-Ouen,Guy-Môquet,SUBWAY,13,75.86368977673327
Champs-Elysées-Clémenceau,Invalides,SUBWAY,13,113.18448883666277
Guy-Môquet,La Fourche,SUBWAY,13,86.55699177438309
Place de Clichy,Liège,SUBWAY,13,84.39482961222093
Carrefour-Pleyel,Mairie de Saint-Ouen,SUBWAY,13,117.06227967097534
Porte de Vanves,Malakoff-Plateau de Vanves,SUBWAY,13,95.88719153936546
Malakoff-Plateau de Vanves,Malakoff-Rue Etienne Dolet,SUBWAY,13,92.855464159812
Saint-Lazare,Miromesnil,SUBWAY,13,134.5475910693302
Duroc,Montparnasse-Bienvenue,SUBWAY,13,97.95534665099883
Gaîté,Pernety,SUBWAY,13,95.91069330199767
La Fourche,Place de Clichy,SUBWAY,13,86.58049353701529
Pernety,Plaisance,SUBWAY,13,67.77908343125736
Garibaldi,Porte de Saint-Ouen,SUBWAY,13,111.0223266745006
Plaisance,Porte de Vanves,SUBWAY,13,86.34547591069331
Basilique de Saint-Denis,Saint-Denis - Porte de Paris,SUBWAY,13,105.35840188014103
Varenne,Saint-François-Xavier,SUBWAY,13,69.165687426557
Liège,Saint-Lazare,SUBWAY,13,102.82021151586372
Invalides,Varenne,SUBWAY,13,65.78143360752057
République,Arts-et-Métiers,SUBWAY,11,89.79466603729055
Pyrénées,Belleville,SUBWAY,11,99.33915506254426
Hôtel de Ville,Châtelet,SUBWAY,11,60.00000000000001
Belleville,Goncourt (Hôpital Saint-Louis),SUBWAY,11,64.70143969789947
Rambuteau,Hôtel de Ville,SUBWAY,11,65.72102902997405
Place des Fêtes,Jourdain,SUBWAY,11,56.785461411375984
Télégraphe,Place des Fêtes,SUBWAY,11,65.50861458579185
Mairie des Lilas,Porte des Lilas,SUBWAY,11,90.95586499881993
Jourdain,Pyrénées,SUBWAY,11,60.14160962945481
Arts-et-Métiers,Rambuteau,SUBWAY,11,89.3273542600897
Goncourt (Hôpital Saint-Louis),République,SUBWAY,11,63.313665329242404
Porte des Lilas,Télégraphe,SUBWAY,11,79.74038234599954
Rambuteau,Arts-et-Métiers,SUBWAY,11,83.46597598304687
Goncourt (Hôpital Saint-Louis),Belleville,SUBWAY,11,64.50671061926067
République,Goncourt (Hôpital Saint-Louis),SUBWAY,11,72.72898516599955
Châtelet,Hôtel de Ville,SUBWAY,11,60.00000000000001
Pyrénées,Jourdain,SUBWAY,11,60.00000000000001
Porte des Lilas,Mairie des Lilas,SUBWAY,11,109.8422415822934
Jourdain,Place des Fêtes,SUBWAY,11,59.06757711325643
Télégraphe,Porte des Lilas,SUBWAY,11,71.23145749941136
Belleville,Pyrénées,SUBWAY,11,92.86084294796328
Hôtel de Ville,Rambuteau,SUBWAY,11,65.56628208146928
Arts-et-Métiers,République,SUBWAY,11,83.45184836355075
Place des Fêtes,Télégraphe,SUBWAY,11,78.59194725688722
Antony,Orly 1-2-3,SUBWAY,ORLYVAL,360.2654867256637
Orly 1-2-3,Orly 4,SUBWAY,ORLYVAL,60.26548672566373
Orly 1-2-3,Antony,SUBWAY,ORLYVAL,366.2876254180602
Orly 4,Orly 1-2-3,SUBWAY,ORLYVAL,60.00000000000001
Gare de Lyon,Bercy,SUBWAY,14,79.55254636443922
Cour Saint-Emilion,Bibliothèque-François Mitterrand,SUBWAY,14,103.94465705033855
Pyramides,Châtelet,SUBWAY,14,112.79364144833679
Bercy,Cour Saint-Emilion,SUBWAY,14,99.42302031204005
Châtelet,Gare de Lyon,SUBWAY,14,190.75654989696793
Saint-Lazare,Madeleine,SUBWAY,14,94.38916691198118
Bibliothèque-François Mitterrand,Olympiades,SUBWAY,14,123.10862525758023
Madeleine,Pyramides,SUBWAY,14,104.35089785104506
Cour Saint-Emilion,Bercy,SUBWAY,14,79.58567623557268
Olympiades,Bibliothèque-François Mitterrand,SUBWAY,14,72.8558745190885
Gare de Lyon,Châtelet,SUBWAY,14,190.21012133767385
Bibliothèque-François Mitterrand,Cour Saint-Emilion,SUBWAY,14,103.62829239419949
Bercy,Gare de Lyon,SUBWAY,14,102.40307783367862
Pyramides,Madeleine,SUBWAY,14,102.33205090263394
Châtelet,Pyramides,SUBWAY,14,110.73098549866826
Madeleine,Saint-Lazare,SUBWAY,14,121.66913287955018
Pigalle,Abbesses,SUBWAY,12,59.984548029873814
Solférino,Assemblée Nationale,SUBWAY,12,60.72624259593099
Assemblée Nationale,Concorde,SUBWAY,12,97.64099922740151
Porte de Versailles,Convention,SUBWAY,12,97.45557558588722
Mairie d'Issy,Corentin-Celton,SUBWAY,12,74.0612928148339
Pasteur,Falguière,SUBWAY,12,77.21349472057689
Porte de la Chapelle,Front Populaire,SUBWAY,12,189.07030646407418
Lamarck-Caulaincourt,Jules Joffrin,SUBWAY,12,93.71619881534897
Abbesses,Lamarck-Caulaincourt,SUBWAY,12,81.83363378830802
Concorde,Madeleine,SUBWAY,12,101.31856811743499
Jules Joffrin,Marcadet-Poissonniers,SUBWAY,12,65.65542106618595
Marcadet-Poissonniers,Marx-Dormoy,SUBWAY,12,104.79526139582798
Falguière,Montparnasse-Bienvenue,SUBWAY,12,70.87818696883855
Trinité-d'Estienne d'Orves,Notre-Dame de Lorette,SUBWAY,12,75.94643317022921
Montparnasse-Bienvenue,Notre-Dame des Champs,SUBWAY,12,88.89518413597735
Volontaires,Pasteur,SUBWAY,12,62.796806592840596
Saint-Georges,Pigalle,SUBWAY,12,84.50682462013908
Corentin-Celton,Porte de Versailles,SUBWAY,12,111.50141643059492
