:END_ID,:START_ID,:TYPE,line:string,time:float
Fort d'Aubervilliers,Aubervilliers Pantin (4 Chemins),SUBWAY,7,132.85930408472012
Poissonnière,Cadet,SUBWAY,7,62.269288956127085
Place Monge (Jardin des Plantes),Censier-Daubenton,SUBWAY,7,69.56127080181544
Le Peletier,Chaussée d'Antin (La Fayette),SUBWAY,7,76.3086232980333
Louis Blanc,Château Landon,SUBWAY,7,89.37972768532528
Pont Neuf,Châtelet,SUBWAY,7,83.8729198184569
Porte de la Villette,Corentin-Cariou,SUBWAY,7,96.15733736762482
Corentin-Cariou,Crimée,SUBWAY,7,69.89409984871408
La Courneuve-8-Mai-1945,Fort d'Aubervilliers,SUBWAY,7,86.89863842662633
Château Landon,Gare de l'Est (Verdun),SUBWAY,7,78.63842662632376
Sully-Morland,Jussieu,SUBWAY,7,109.65204236006053
Cadet,Le Peletier,SUBWAY,7,75.00756429652044
Censier-Daubenton,Les Gobelins,SUBWAY,7,84.35703479576401
Stalingrad,Louis Blanc,SUBWAY,7,86.38426626323754
Pierre et Marie Curie,Mairie d'Ivry,SUBWAY,7,141.5733736762481
Tolbiac,Maison Blanche,SUBWAY,7,78.66868381240546
Chaussée d'Antin (La Fayette),Opéra,SUBWAY,7,97.60968229954615
Pyramides,Palais-Royal (Musée du Louvre),SUBWAY,7,69.8335854765507
Porte d'Ivry,Pierre et Marie Curie,SUBWAY,7,88.7745839636914
Jussieu,Place Monge (Jardin des Plantes),SUBWAY,7,75.49167927382754
Les Gobelins,Place d'Italie,SUBWAY,7,85.17397881996976
Gare de l'Est (Verdun),Poissonnière,SUBWAY,7,109.2586989409985
Châtelet,Pont Marie (Cité des Arts),SUBWAY,7,96.12708018154314
Palais-Royal (Musée du Louvre),Pont Neuf,SUBWAY,7,102.45083207261726
Maison Blanche,Porte d'Italie,SUBWAY,7,79.90922844175493
Porte de Choisy,Porte d'Ivry,SUBWAY,7,74.58396369137672
Porte d'Italie,Porte de Choisy,SUBWAY,7,71.22541603630864
Aubervilliers Pantin (4 Chemins),Porte de la Villette,SUBWAY,7,120.5446293494705
Opéra,Pyramides,SUBWAY,7,84.11497730711045
Crimée,Riquet,SUBWAY,7,65.4160363086233
Riquet,Stalingrad,SUBWAY,7,75.06807866868382
Pont Marie (Cité des Arts),Sully-Morland,SUBWAY,7,72.82904689863844
Place d'Italie,Tolbiac,SUBWAY,7,75.249621785174
Porte de la Villette,Aubervilliers Pantin (4 Chemins),SUBWAY,7,116.32713026444664
Le Peletier,Cadet,SUBWAY,7,76.66013712047014
Les Gobelins,Censier-Daubenton,SUBWAY,7,87.88442703232127
Opéra,Chaussée d'Antin (La Fayette),SUBWAY,7,93.1439764936337
Gare de l'Est (Verdun),Château Landon,SUBWAY,7,80.3036238981391
Pont Marie (Cité des Arts),Châtelet,SUBWAY,7,90.79333986287955
Crimée,Corentin-Cariou,SUBWAY,7,79.86287952987269
Riquet,Crimée,SUBWAY,7,63.173359451518124
Aubervilliers Pantin (4 Chemins),Fort d'Aubervilliers,SUBWAY,7,127.25759059745347
Poissonnière,Gare de l'Est (Verdun),SUBWAY,7,106.0724779627816
Place Monge (Jardin des Plantes),Jussieu,SUBWAY,7,87.50244857982372
Fort d'Aubervilliers,La Courneuve-8-Mai-1945,SUBWAY,7,137.98237022526934
Chaussée d'Antin (La Fayette),Le Peletier,SUBWAY,7,75.69049951028406
Place d'Italie,Les Gobelins,SUBWAY,7,87.41429970617044
Château Landon,Louis Blanc,SUBWAY,7,81.09696376101863
Porte d'Italie,Maison Blanche,SUBWAY,7,84.15279138099903
Pyramides,Opéra,SUBWAY,7,91.76297747306563
Pont Neuf,Palais-Royal (Musée du Louvre),SUBWAY,7,115.2987267384917
Mairie d'Ivry,Pierre et Marie Curie,SUBWAY,7,99.60822722820765
Censier-Daubenton,Place Monge (Jardin des Plantes),SUBWAY,7,65.90597453476985
Tolbiac,Place d'Italie,SUBWAY,7,91.67482859941235
Cadet,Poissonnière,SUBWAY,7,62.43878550440745
Sully-Morland,Pont Marie (Cité des Arts),SUBWAY,7,69.57884427032323
Châtelet,Pont Neuf,SUBWAY,7,86.65034280117533
Porte de Choisy,Porte d'Italie,SUBWAY,7,76.01371204701275
Pierre et Marie Curie,Porte d'Ivry,SUBWAY,7,108.92262487757102
Porte d'Ivry,Porte de Choisy,SUBWAY,7,72.78158667972578
Corentin-Cariou,Porte de la Villette,SUBWAY,7,78.62879529872676
Palais-Royal (Musée du Louvre),Pyramides,SUBWAY,7,71.40058765915771
Stalingrad,Riquet,SUBWAY,7,80.18609206660139
Louis Blanc,Stalingrad,SUBWAY,7,82.97747306562195
Jussieu,Sully-Morland,SUBWAY,7,110.71498530852107
Maison Blanche,Tolbiac,SUBWAY,7,69.25563173359453
Picpus,Bel-Air,SUBWAY,6,78.84123711340207
Dugommier,Bercy,SUBWAY,6,72.17319587628867
Dupleix,Bir-Hakeim (Grenelle),SUBWAY,6,64.88659793814435
Trocadéro,Boissière,SUBWAY,6,61.17525773195877
Sèvres-Lecourbe,Cambronne,SUBWAY,6,71.34432989690723
Kléber,Charles de Gaulle-Etoile,SUBWAY,6,121.28659793814435
Quai de la Gare,Chevaleret,SUBWAY,6,57.10515463917527
Place d'Italie,Corvisart,SUBWAY,6,83.70309278350517
Bel-Air,Daumesnil (Félix Eboué),SUBWAY,6,66.94020618556702
Saint-Jacques,Denfert-Rochereau,SUBWAY,6,65.56701030927836
Daumesnil (Félix Eboué),Dugommier,SUBWAY,6,60.43298969072166
La Motte-Picquet-Grenelle,Dupleix,SUBWAY,6,63.57525773195877
Raspail,Edgar-Quinet,SUBWAY,6,71.74020618556702
Corvisart,Glacière,SUBWAY,6,82.56494845360825
Boissière,Kléber,SUBWAY,6,68.3876288659794
Cambronne,La Motte-Picquet-Grenelle,SUBWAY,6,68.54845360824743
Edgar-Quinet,Montparnasse-Bienvenue,SUBWAY,6,83.69072164948454
Chevaleret,Nationale,SUBWAY,6,69.63711340206187
Bir-Hakeim (Grenelle),Passy,SUBWAY,6,71.66597938144331
Montparnasse-Bienvenue,Pasteur,SUBWAY,6,81.7237113402062
Nation,Picpus,SUBWAY,6,88.24329896907217
Nationale,Place d'Italie,SUBWAY,6,63.51340206185568
Bercy,Quai de la Gare,SUBWAY,6,88.66391752577321
Denfert-Rochereau,Raspail,SUBWAY,6,64.82474226804125
Glacière,Saint-Jacques,SUBWAY,6,74.09072164948455
Pasteur,Sèvres-Lecourbe,SUBWAY,6,71.38144329896909
Passy,Trocadéro,SUBWAY,6,90.90309278350517
Daumesnil (Félix Eboué),Bel-Air,SUBWAY,6,65.64404713531086
Quai de la Gare,Bercy,SUBWAY,6,87.62291751320602
Passy,Bir-Hakeim (Grenelle),SUBWAY,6,63.87647297846405
Kléber,Boissière,SUBWAY,6,58.15928484355954
La Motte-Picquet-Grenelle,Cambronne,SUBWAY,6,56.53799268590005
Nationale,Chevaleret,SUBWAY,6,69.49613978057701
Glacière,Corvisart,SUBWAY,6,81.1986997155628
Dugommier,Daumesnil (Félix Eboué),SUBWAY,6,76.8590004063389
Raspail,Denfert-Rochereau,SUBWAY,6,63.48638764729786
Bercy,Dugommier,SUBWAY,6,74.92076391710688
Bir-Hakeim (Grenelle),Dupleix,SUBWAY,6,66.82649329540838
Montparnasse-Bienvenue,Edgar-Quinet,SUBWAY,6,67.9236082893133
Saint-Jacques,Glacière,SUBWAY,6,68.65501828524991
Charles de Gaulle-Etoile,Kléber,SUBWAY,6,120.00000000000003
Dupleix,La Motte-Picquet-Grenelle,SUBWAY,6,60.60950832994719
Pasteur,Montparnasse-Bienvenue,SUBWAY,6,94.62007314099961
Picpus,Nation,SUBWAY,6,135.57903291344982
Place d'Italie,Nationale,SUBWAY,6,70.04469727752947
Trocadéro,Passy,SUBWAY,6,90.04876066639578
Sèvres-Lecourbe,Pasteur,SUBWAY,6,78.35839089800895
Bel-Air,Picpus,SUBWAY,6,70.25193010971151
Corvisart,Place d'Italie,SUBWAY,6,91.97480698902886
Chevaleret,Quai de la Gare,SUBWAY,6,60.73140999593662
Edgar-Quinet,Raspail,SUBWAY,6,85.13612352702155
Denfert-Rochereau,Saint-Jacques,SUBWAY,6,65.72937830150346
Cambronne,Sèvres-Lecourbe,SUBWAY,6,67.7285656237302
Boissière,Trocadéro,SUBWAY,6,58.68346200731411
Buttes-Chaumont,Bolivar,SUBWAY,7B,86.50807136788447
Danube,Botzaris,SUBWAY,7B,91.70773152081564
Botzaris,Buttes-Chaumont,SUBWAY,7B,71.41886151231947
Pré-Saint-Gervais,Danube,SUBWAY,7B,59.43925233644861
Bolivar,Jaurès,SUBWAY,7B,63.517417162276985
Jaurès,Louis Blanc,SUBWAY,7B,86.55904842820732
Jaurès,Bolivar,SUBWAY,7B,62.395921835174185
Buttes-Chaumont,Botzaris,SUBWAY,7B,68.71707731520817
Bolivar,Buttes-Chaumont,SUBWAY,7B,76.61852166525065
Louis Blanc,Jaurès,SUBWAY,7B,77.38317757009347
Botzaris,Place des Fêtes,SUBWAY,7B,86.8139337298216
Place des Fêtes,Pré-Saint-Gervais,SUBWAY,7B,121.8351741716228
Iéna,Alma-Marceau,SUBWAY,9,81.20489114226068
Pont de Sèvres,Billancourt,SUBWAY,9,76.53444676409187
Grands Boulevards,Bonne Nouvelle,SUBWAY,9,67.22934685356398
Nation,Buzenval,SUBWAY,9,89.49000894721146
Voltaire (Léon Blum),Charonne,SUBWAY,9,74.90605427974948
Havre-Caumartin,Chaussée d'Antin (La Fayette),SUBWAY,9,77.94810617357591
Robespierre,Croix-de-Chavaux (Jacques Duclos),SUBWAY,9,97.34566060244559
Porte de Saint-Cloud,Exelmans,SUBWAY,9,87.8079331941545
Alma-Marceau,Franklin-Roosevelt,SUBWAY,9,110.76647778109158
Richelieu-Drouot,Grands Boulevards,SUBWAY,9,74.2081717864599
Saint-Augustin,Havre-Caumartin,SUBWAY,9,86.16164628690727
Trocadéro,Iéna,SUBWAY,9,83.58484938860724
Michel-Ange-Auteuil,Jasmin,SUBWAY,9,90.83209066507607
Ranelagh,La Muette,SUBWAY,9,71.89979123173279
Croix-de-Chavaux (Jacques Duclos),Mairie de Montreuil,SUBWAY,9,142.77960035788846
Buzenval,Maraîchers,SUBWAY,9,64.33045034297645
Billancourt,Marcel Sembat,SUBWAY,9,82.24276767074264
Michel-Ange-Molitor,Michel-Ange-Auteuil,SUBWAY,9,64.50939457202506
Exelmans,Michel-Ange-Molitor,SUBWAY,9,59.80316134804654
Saint-Philippe du Roule,Miromesnil,SUBWAY,9,77.48285117804951
Rue des Boulets,Nation,SUBWAY,9,87.11005070086492
République,Oberkampf,SUBWAY,9,84.80167014613781
Maraîchers,Porte de Montreuil,SUBWAY,9,78.43125559200718
Marcel Sembat,Porte de Saint-Cloud,SUBWAY,9,140.27438115120788
Jasmin,Ranelagh,SUBWAY,9,66.37041455413063
Chaussée d'Antin (La Fayette),Richelieu-Drouot,SUBWAY,9,67.6409185803758
Porte de Montreuil,Robespierre,SUBWAY,9,117.38741425589026
La Muette,Rue de la Pompe (Avenue Georges Mandel),SUBWAY,9,113.7190575603937
Charonne,Rue des Boulets,SUBWAY,9,77.25022368028633
Strasbourg-Saint-Denis,République,SUBWAY,9,96.37936176558308
Oberkampf,Saint-Ambroise,SUBWAY,9,85.83954667461975
Miromesnil,Saint-Augustin,SUBWAY,9,89.99105278854759
Franklin-Roosevelt,Saint-Philippe du Roule,SUBWAY,9,70.75454816582166
Bonne Nouvelle,Strasbourg-Saint-Denis,SUBWAY,9,88.97107068297049
Rue de la Pompe (Avenue Georges Mandel),Trocadéro,SUBWAY,9,83.33432746793918
Saint-Ambroise,Voltaire (Léon Blum),SUBWAY,9,77.33969579481062
Franklin-Roosevelt,Alma-Marceau,SUBWAY,9,96.43340857787813
Marcel Sembat,Billancourt,SUBWAY,9,86.56320541760724
Strasbourg-Saint-Denis,Bonne Nouvelle,SUBWAY,9,65.80699774266367
